,alpha,sigma,only_negative_disturbances,add_short_timescale,ews,p_linear,p_kendalltau,p_theilsen,p_kendalltau_adj,valid
157,2.0,0.02,True,False,ac1_thresh,0.1,0.21,0.0,0.21,1.0
158,2.0,0.02,True,False,iqr,0.29,0.21,0.05,0.21,1.0
159,2.0,0.02,True,False,iqr_thresh,0.22,0.2,0.03,0.2,1.0
160,2.0,0.02,True,False,std_dev,0.29,0.21,0.05,0.21,1.0
161,2.0,0.02,True,False,std_dev_thresh,0.18,0.14,0.03,0.14,1.0
162,2.0,0.02,True,True,ac1,1.0,1.0,0.96,1.0,1.0
163,2.0,0.02,True,True,ac1_thresh,1.0,1.0,0.99,1.0,1.0
164,2.0,0.02,True,True,iqr,0.99,1.0,0.06,1.0,1.0
165,2.0,0.02,True,True,iqr_thresh,0.98,1.0,0.04,1.0,1.0
166,2.0,0.02,True,True,std_dev,0.99,1.0,0.11,1.0,1.0
167,2.0,0.02,True,True,std_dev_thresh,0.98,1.0,0.64,1.0,1.0
168,2.0,0.05,False,False,ac1,0.11764705882352941,0.3235294117647059,0.0,0.3235294117647059,0.34
169,2.0,0.05,False,False,ac1_thresh,0.0,0.14705882352941177,0.0,0.14705882352941177,0.34
170,2.0,0.05,False,False,iqr,0.3235294117647059,0.11764705882352941,0.029411764705882353,0.11764705882352941,0.34
171,2.0,0.05,False,False,iqr_thresh,0.35294117647058826,0.11764705882352941,0.029411764705882353,0.11764705882352941,0.34
172,2.0,0.05,False,False,std_dev,0.3235294117647059,0.17647058823529413,0.08823529411764706,0.17647058823529413,0.34
173,2.0,0.05,False,False,std_dev_thresh,0.058823529411764705,0.08823529411764706,0.029411764705882353,0.08823529411764706,0.34
174,2.0,0.05,False,True,ac1,1.0,1.0,0.97,1.0,1.0
175,2.0,0.05,False,True,ac1_thresh,1.0,1.0,1.0,1.0,1.0
176,2.0,0.05,False,True,iqr,1.0,1.0,0.0,1.0,1.0
177,2.0,0.05,False,True,iqr_thresh,0.89,1.0,0.12,1.0,1.0
178,2.0,0.05,False,True,std_dev,1.0,1.0,0.02,1.0,1.0
179,2.0,0.05,False,True,std_dev_thresh,1.0,1.0,0.73,1.0,1.0
180,2.0,0.05,True,False,ac1,0.2222222222222222,0.4444444444444444,0.0,0.4444444444444444,0.18
181,2.0,0.05,True,False,ac1_thresh,0.05555555555555555,0.1111111111111111,0.0,0.1111111111111111,0.18
182,2.0,0.05,True,False,iqr,0.3888888888888889,0.3888888888888889,0.1111111111111111,0.3888888888888889,0.18
183,2.0,0.05,True,False,iqr_thresh,0.3888888888888889,0.3333333333333333,0.0,0.3333333333333333,0.18
184,2.0,0.05,True,False,std_dev,0.3888888888888889,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.18
185,2.0,0.05,True,False,std_dev_thresh,0.16666666666666666,0.1111111111111111,0.05555555555555555,0.1111111111111111,0.18
186,2.0,0.05,True,True,ac1,1.0,1.0,0.91,1.0,1.0
187,2.0,0.05,True,True,ac1_thresh,0.99,1.0,0.94,1.0,1.0
188,2.0,0.05,True,True,iqr,0.96,1.0,0.05,1.0,1.0
189,2.0,0.05,True,True,iqr_thresh,0.94,1.0,0.04,1.0,1.0
190,2.0,0.05,True,True,std_dev,0.98,1.0,0.09,1.0,1.0
191,2.0,0.05,True,True,std_dev_thresh,0.9,0.94,0.62,0.94,1.0
192,2.0,0.1,False,False,ac1,0.0,0.0,0.0,0.0,0.01
193,2.0,0.1,False,False,ac1_thresh,0.0,0.0,0.0,0.0,0.01
194,2.0,0.1,False,False,iqr,1.0,0.0,0.0,0.0,0.01
195,2.0,0.1,False,False,iqr_thresh,1.0,0.0,0.0,0.0,0.01
196,2.0,0.1,False,False,std_dev,1.0,0.0,0.0,0.0,0.01
197,2.0,0.1,False,False,std_dev_thresh,0.0,0.0,0.0,0.0,0.01
198,2.0,0.1,False,True,ac1,1.0,1.0,0.97,1.0,1.0
199,2.0,0.1,False,True,ac1_thresh,0.95,0.98,0.9,0.98,1.0
200,2.0,0.1,False,True,iqr,1.0,1.0,0.0,1.0,1.0
201,2.0,0.1,False,True,iqr_thresh,0.85,1.0,0.03,1.0,1.0
202,2.0,0.1,False,True,std_dev,1.0,1.0,0.0,1.0,1.0
203,2.0,0.1,False,True,std_dev_thresh,0.96,1.0,0.43,1.0,1.0
204,2.0,0.1,True,True,ac1,1.0,1.0,0.97,1.0,1.0
205,2.0,0.1,True,True,ac1_thresh,0.98,0.98,0.96,0.98,1.0
206,2.0,0.1,True,True,iqr,0.96,1.0,0.01,1.0,1.0
207,2.0,0.1,True,True,iqr_thresh,0.95,0.98,0.08,0.98,1.0
208,2.0,0.1,True,True,std_dev,0.96,1.0,0.03,1.0,1.0
209,2.0,0.1,True,True,std_dev_thresh,0.86,0.88,0.75,0.88,1.0
210,2.0,0.2,False,True,ac1,1.0,0.9795918367346939,0.826530612244898,0.9795918367346939,0.98
211,2.0,0.2,False,True,ac1_thresh,0.5714285714285714,0.5408163265306123,0.3979591836734694,0.5408163265306123,0.98
212,2.0,0.2,False,True,iqr,0.9591836734693877,1.0,0.02040816326530612,1.0,0.98
213,2.0,0.2,False,True,iqr_thresh,0.8367346938775511,1.0,0.09183673469387756,1.0,0.98
214,2.0,0.2,False,True,std_dev,0.9795918367346939,1.0,0.07142857142857142,1.0,0.98
215,2.0,0.2,False,True,std_dev_thresh,0.9387755102040817,1.0,0.5204081632653061,1.0,0.98
216,2.0,0.2,True,True,ac1,1.0,1.0,1.0,1.0,0.98
217,2.0,0.2,True,True,ac1_thresh,0.6326530612244898,0.673469387755102,0.6836734693877551,0.673469387755102,0.98
218,2.0,0.2,True,True,iqr,0.9897959183673469,0.9897959183673469,0.0,0.9897959183673469,0.98
219,2.0,0.2,True,True,iqr_thresh,0.9693877551020408,0.9591836734693877,0.15306122448979592,0.9591836734693877,0.98
220,2.0,0.2,True,True,std_dev,0.9897959183673469,1.0,0.0,1.0,0.98
221,2.0,0.2,True,True,std_dev_thresh,0.7040816326530612,0.6122448979591837,0.5816326530612245,0.6122448979591837,0.98
222,2.0,0.5,False,True,ac1,0.9411764705882353,0.47058823529411764,0.47058823529411764,0.47058823529411764,0.17
223,2.0,0.5,False,True,ac1_thresh,0.6470588235294118,0.6470588235294118,0.29411764705882354,0.6470588235294118,0.17
224,2.0,0.5,False,True,iqr,0.7058823529411765,0.9411764705882353,0.29411764705882354,0.9411764705882353,0.17
225,2.0,0.5,False,True,iqr_thresh,0.5882352941176471,0.9411764705882353,0.29411764705882354,0.9411764705882353,0.17
226,2.0,0.5,False,True,std_dev,0.6470588235294118,0.9411764705882353,0.35294117647058826,0.9411764705882353,0.17
227,2.0,0.5,False,True,std_dev_thresh,0.7647058823529411,0.9411764705882353,0.5294117647058824,0.9411764705882353,0.17
228,2.0,0.5,True,True,ac1,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.09
229,2.0,0.5,True,True,ac1_thresh,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.09
230,2.0,0.5,True,True,iqr,0.7777777777777778,0.6666666666666666,0.0,0.6666666666666666,0.09
231,2.0,0.5,True,True,iqr_thresh,0.7777777777777778,0.6666666666666666,0.0,0.6666666666666666,0.09
232,2.0,0.5,True,True,std_dev,0.7777777777777778,0.8888888888888888,0.0,0.8888888888888888,0.09
233,2.0,0.5,True,True,std_dev_thresh,0.2222222222222222,0.2222222222222222,0.0,0.2222222222222222,0.09
