,alpha,sigma,only_negative_disturbances,add_short_timescale,ews,p_linear,p_kendalltau,p_theilsen,p_kendalltau_adj,valid
179,0.75,1e-06,False,True,std_dev_thresh,1.0,1.0,1.0,1.0,1.0
180,0.75,1e-06,True,False,ac1,0.09,0.1,0.03,0.1,1.0
181,0.75,1e-06,True,False,ac1_thresh,0.05,0.09,0.03,0.09,1.0
182,0.75,1e-06,True,False,iqr,0.13,0.12,0.07,0.12,1.0
183,0.75,1e-06,True,False,iqr_thresh,0.13,0.11,0.07,0.11,1.0
184,0.75,1e-06,True,False,std_dev,0.14,0.11,0.08,0.11,1.0
185,0.75,1e-06,True,False,std_dev_thresh,0.08,0.07,0.06,0.07,1.0
186,0.75,1e-06,True,True,ac1,1.0,1.0,1.0,1.0,1.0
187,0.75,1e-06,True,True,ac1_thresh,0.99,1.0,1.0,1.0,1.0
188,0.75,1e-06,True,True,iqr,0.98,1.0,0.69,1.0,1.0
189,0.75,1e-06,True,True,iqr_thresh,0.93,1.0,0.75,1.0,1.0
190,0.75,1e-06,True,True,std_dev,0.97,1.0,0.93,1.0,1.0
191,0.75,1e-06,True,True,std_dev_thresh,1.0,1.0,1.0,1.0,1.0
192,0.75,0.0001,False,False,ac1,0.05263157894736842,0.11578947368421053,0.021052631578947368,0.11578947368421053,0.95
193,0.75,0.0001,False,False,ac1_thresh,0.06315789473684211,0.08421052631578947,0.031578947368421054,0.08421052631578947,0.95
194,0.75,0.0001,False,False,iqr,0.07368421052631578,0.07368421052631578,0.010526315789473684,0.07368421052631578,0.95
195,0.75,0.0001,False,False,iqr_thresh,0.031578947368421054,0.1368421052631579,0.0,0.1368421052631579,0.95
196,0.75,0.0001,False,False,std_dev,0.05263157894736842,0.05263157894736842,0.010526315789473684,0.05263157894736842,0.95
197,0.75,0.0001,False,False,std_dev_thresh,0.05263157894736842,0.05263157894736842,0.021052631578947368,0.05263157894736842,0.95
198,0.75,0.0001,False,True,ac1,0.9789473684210527,0.9789473684210527,0.9789473684210527,0.9789473684210527,0.95
199,0.75,0.0001,False,True,ac1_thresh,0.9789473684210527,0.9789473684210527,0.9578947368421052,0.9789473684210527,0.95
200,0.75,0.0001,False,True,iqr,0.8210526315789474,1.0,0.3894736842105263,0.9789473684210527,0.95
201,0.75,0.0001,False,True,iqr_thresh,0.7684210526315789,1.0,0.45263157894736844,0.9789473684210527,0.95
202,0.75,0.0001,False,True,std_dev,0.6421052631578947,0.9894736842105263,0.37894736842105264,0.968421052631579,0.95
203,0.75,0.0001,False,True,std_dev_thresh,0.9473684210526315,0.9894736842105263,0.9263157894736842,0.9789473684210527,0.95
204,0.75,0.0001,True,False,ac1,0.056818181818181816,0.125,0.045454545454545456,0.125,0.88
205,0.75,0.0001,True,False,ac1_thresh,0.03409090909090909,0.07954545454545454,0.03409090909090909,0.07954545454545454,0.88
206,0.75,0.0001,True,False,iqr,0.06818181818181818,0.11363636363636363,0.0,0.11363636363636363,0.88
207,0.75,0.0001,True,False,iqr_thresh,0.056818181818181816,0.11363636363636363,0.0,0.11363636363636363,0.88
208,0.75,0.0001,True,False,std_dev,0.06818181818181818,0.09090909090909091,0.0,0.09090909090909091,0.88
209,0.75,0.0001,True,False,std_dev_thresh,0.03409090909090909,0.056818181818181816,0.0,0.056818181818181816,0.88
210,0.75,0.0001,True,True,ac1,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.88
211,0.75,0.0001,True,True,ac1_thresh,0.9772727272727273,0.9659090909090909,0.9545454545454546,0.9545454545454546,0.88
212,0.75,0.0001,True,True,iqr,0.8522727272727273,0.9886363636363636,0.3977272727272727,0.9545454545454546,0.88
213,0.75,0.0001,True,True,iqr_thresh,0.8522727272727273,0.9886363636363636,0.3181818181818182,0.9545454545454546,0.88
214,0.75,0.0001,True,True,std_dev,0.7386363636363636,0.9886363636363636,0.38636363636363635,0.9545454545454546,0.88
215,0.75,0.0001,True,True,std_dev_thresh,0.9545454545454546,0.9772727272727273,0.8977272727272727,0.9545454545454546,0.88
216,0.75,0.001,False,False,ac1,0.013333333333333334,0.12,0.0,0.12,0.75
217,0.75,0.001,False,False,ac1_thresh,0.02666666666666667,0.09333333333333334,0.013333333333333334,0.09333333333333334,0.75
218,0.75,0.001,False,False,iqr,0.04,0.12,0.0,0.12,0.75
219,0.75,0.001,False,False,iqr_thresh,0.02666666666666667,0.16,0.0,0.16,0.75
220,0.75,0.001,False,False,std_dev,0.04,0.12,0.0,0.12,0.75
221,0.75,0.001,False,False,std_dev_thresh,0.05333333333333334,0.09333333333333334,0.0,0.09333333333333334,0.75
222,0.75,0.001,False,True,ac1,0.9066666666666666,0.9333333333333333,0.9333333333333333,0.9066666666666666,0.75
223,0.75,0.001,False,True,ac1_thresh,0.92,0.96,0.9733333333333334,0.9333333333333333,0.75
224,0.75,0.001,False,True,iqr,0.30666666666666664,0.9866666666666667,0.06666666666666667,0.9466666666666667,0.75
225,0.75,0.001,False,True,iqr_thresh,0.36,1.0,0.06666666666666667,0.96,0.75
226,0.75,0.001,False,True,std_dev,0.10666666666666667,0.9066666666666666,0.0,0.8666666666666667,0.75
227,0.75,0.001,False,True,std_dev_thresh,0.49333333333333335,0.92,0.26666666666666666,0.9066666666666666,0.75
228,0.75,0.001,True,False,ac1,0.03125,0.09375,0.015625,0.09375,0.64
229,0.75,0.001,True,False,ac1_thresh,0.015625,0.125,0.015625,0.125,0.64
230,0.75,0.001,True,False,iqr,0.03125,0.15625,0.0,0.15625,0.64
231,0.75,0.001,True,False,iqr_thresh,0.046875,0.140625,0.0,0.140625,0.64
232,0.75,0.001,True,False,std_dev,0.015625,0.140625,0.0,0.140625,0.64
233,0.75,0.001,True,False,std_dev_thresh,0.015625,0.109375,0.0,0.109375,0.64
