,alpha,sigma,only_negative_disturbances,ews,p_linear,p_kendalltau,p_theilsen,p_kendalltau_adj,valid
167,1.25,0.01,False,std_dev,0.23711340206185566,0.8144329896907216,0.05154639175257732,0.8144329896907216,0.97
168,1.25,0.01,True,ac1,0.9896907216494846,0.9896907216494846,0.9896907216494846,0.9896907216494846,0.97
169,1.25,0.01,True,iqr,0.979381443298969,0.9896907216494846,0.35051546391752575,0.9896907216494846,0.97
170,1.25,0.01,True,std_dev,0.23711340206185566,0.8762886597938144,0.030927835051546393,0.8762886597938144,0.97
171,1.25,0.02,False,ac1,0.9895833333333334,0.9895833333333334,0.9895833333333334,0.9895833333333334,0.96
172,1.25,0.02,False,iqr,0.9895833333333334,0.9895833333333334,0.34375,0.9895833333333334,0.96
173,1.25,0.02,False,std_dev,0.21875,0.75,0.041666666666666664,0.75,0.96
174,1.25,0.02,True,ac1,0.9775280898876404,0.9775280898876404,0.9775280898876404,0.9775280898876404,0.89
175,1.25,0.02,True,iqr,0.9662921348314607,0.9662921348314607,0.34831460674157305,0.9662921348314607,0.89
176,1.25,0.02,True,std_dev,0.2247191011235955,0.7303370786516854,0.033707865168539325,0.7303370786516854,0.89
177,1.25,0.05,False,ac1,0.9655172413793104,0.9655172413793104,0.9540229885057471,0.9655172413793104,0.87
178,1.25,0.05,False,iqr,0.9655172413793104,0.9655172413793104,0.2988505747126437,0.9655172413793104,0.87
179,1.25,0.05,False,std_dev,0.20689655172413793,0.6666666666666666,0.04597701149425287,0.6666666666666666,0.87
180,1.25,0.05,True,ac1,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.72
181,1.25,0.05,True,iqr,0.9722222222222222,0.9722222222222222,0.3333333333333333,0.9722222222222222,0.72
182,1.25,0.05,True,std_dev,0.1527777777777778,0.6666666666666666,0.027777777777777776,0.6666666666666666,0.72
183,1.25,0.1,False,ac1,0.9558823529411765,0.9558823529411765,0.9558823529411765,0.9558823529411765,0.68
184,1.25,0.1,False,iqr,0.9558823529411765,0.9558823529411765,0.35294117647058826,0.9558823529411765,0.68
185,1.25,0.1,False,std_dev,0.22058823529411764,0.6029411764705882,0.029411764705882353,0.6029411764705882,0.68
186,1.25,0.1,True,ac1,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.54
187,1.25,0.1,True,iqr,0.9259259259259259,0.9259259259259259,0.37037037037037035,0.9259259259259259,0.54
188,1.25,0.1,True,std_dev,0.14814814814814814,0.6111111111111112,0.037037037037037035,0.6111111111111112,0.54
189,1.25,0.2,False,ac1,0.9069767441860465,0.9069767441860465,0.8837209302325582,0.9069767441860465,0.43
190,1.25,0.2,False,iqr,0.8837209302325582,0.9069767441860465,0.4186046511627907,0.9069767441860465,0.43
191,1.25,0.2,False,std_dev,0.13953488372093023,0.5116279069767442,0.023255813953488372,0.5116279069767442,0.43
192,1.25,0.2,True,ac1,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.19
193,1.25,0.2,True,iqr,0.631578947368421,0.631578947368421,0.3157894736842105,0.631578947368421,0.19
194,1.25,0.2,True,std_dev,0.0,0.21052631578947367,0.0,0.21052631578947367,0.19
195,1.25,0.5,False,ac1,0.375,0.5,0.5,0.5,0.08
196,1.25,0.5,False,iqr,0.5,0.625,0.25,0.625,0.08
197,1.25,0.5,False,std_dev,0.0,0.0,0.0,0.0,0.08
